freq,db,phaseDeg
46500000000,-5.05146737912094,-149.784287663029
46600000000,-5.08726467375741,-149.989969281617
46700000000,-5.1230468433852,-150.195025815272
46800000000,-5.15881370690953,-150.399459715766
46900000000,-5.19456508545886,-150.603273424884
47000000000,-5.23030080236244,-150.806469374441
47100000000,-5.26602068312802,-151.009049986312
47200000000,-5.30172455541977,-151.211017672451
47300000000,-5.33741224903647,-151.412374834916
47400000000,-5.37308359588988,-151.613123865895
47500000000,-5.40873842998337,-151.813267147727
47600000000,-5.44437658739069,-152.012807052927
47700000000,-5.47999790623505,-152.211745944217
47800000000,-5.51560222666833,-152.410086174541
